age	lt	dt	wt	lt1	qt	qt_smooth	pt	cm	qt_l95	qt_u95
1	289	0	0	289	0	0	1	53	0	0
2	289	0	0	289	0	0	1	53	0	0
3	289	0	0	289	0	0	1	53	0	0
4	289	0	0	289	0	0	1	53	0	0
5	289	0	0	289	0	3.25879406159014e-05	1	53	0	9.77638218477041e-05
6	289	0	0	289	0	9.63570945208852e-05	1	53	0	0.000257939826744857
7	289	0	0	289	0	0.000180983681965266	1	53	0	0.000480029319144927
8	289	0	0	289	0	0.000308006805100965	1	53	0	0.000809114195636744
9	289	0	0	289	0	0.000474620053940839	1	53	0	0.00123441183332319
10	289	0	0	289	0	0.000687224998354411	1	53	0	0.00172084857508965
11	289	0	0	289	0	0.000909201867592977	1	53	3.06122884930703e-05	0.00220206342952068
12	289	1	0	289	0.00346020761245675	0.00111951352771325	0.996539792387543	53	6.3030815095542e-05	0.00256334573870234
13	288	1	0	288	0.00347222222222222	0.0013442988288762	0.993079584775087	53	0.000220025841700952	0.00286610602292831
14	287	0	0	287	0	0.00153900927059095	0.993079584775087	53	0.000381219726255761	0.00302724143861514
15	287	0	0	287	0	0.00177957903034752	0.993079584775087	53	0.000591562198175172	0.00323149939823738
16	287	0	0	287	0	0.00206763342615533	0.993079584775087	53	0.000760541263980946	0.0036444063654203
17	287	1	0	287	0.00348432055749129	0.00242256026434404	0.98961937716263	53	0.00098339885950804	0.00417213219288427
18	286	1	0	286	0.0034965034965035	0.00284082956888404	0.986159169550173	53	0.00123661311905414	0.00484006143818099
19	285	1	0	285	0.00350877192982456	0.00320623685162911	0.982698961937716	53	0.00144500048450156	0.00536537303854128
20	284	2	0	284	0.00704225352112676	0.00351679855445905	0.975778546712803	53	0.00167681998587675	0.0058478468605255
21	282	0	0	282	0	0.00376839919079797	0.975778546712803	53	0.00177695066610294	0.00626597723182531
22	282	1	0	282	0.00354609929078014	0.00393710976405732	0.972318339100346	53	0.00186181398424295	0.00646952575208419
23	281	1	0	281	0.00355871886120996	0.00395293056732514	0.968858131487889	53	0.00182562498565889	0.00645319392103236
24	280	2	0	280	0.00714285714285714	0.00377269041880579	0.961937716262976	53	0.00165816185105878	0.0063588208517368
25	278	3	0	278	0.0107913669064748	0.00339885868755245	0.951557093425606	53	0.00136938202012601	0.0058399882055301
26	275	0	1	274.5	0	0.00288990576640631	0.951557093425606	53	0.00117423424704445	0.00498036867769678
27	274	0	1	273.5	0	0.00238152923322478	0.951557093425606	53	0.000987580586271726	0.004038725702547
28	273	0	1	272.5	0	0.00199046770111024	0.951557093425606	53	0.000896502421737468	0.00324393522867606
29	272	0	0	272	0	0.00189201413020703	0.951557093425606	53	0.000844527850858058	0.00307401943504268
30	272	0	1	271.5	0	0.00205791128124366	0.951557093425606	53	0.000861992505958049	0.00344473870518776
31	271	0	0	271	0	0.0026772336394295	0.951557093425606	53	0.00117612579196293	0.00453116133305269
32	271	1	0	271	0.003690036900369	0.00354734814635516	0.948045812638057	53	0.00169120875203399	0.00585249248027527
33	270	1	0	270	0.0037037037037037	0.00461052503901412	0.944534531850509	53	0.00237103018027256	0.00726111723212957
34	269	2	0	269	0.00743494423791822	0.00594700799778088	0.937511970275412	53	0.00339078137614731	0.0089306183354357
35	267	2	0	267	0.00749063670411985	0.00745807551727237	0.930489408700315	54	0.00458576450890139	0.0109008451817016
36	265	2	0	265	0.00754716981132075	0.00901486509385072	0.923466847125219	54	0.00578052997525774	0.0127121899460743
37	263	1	2	262	0.00381679389312977	0.0108345255965146	0.919942164502603	54	0.00721012571221136	0.0148116227430966
38	260	6	0	260	0.0230769230769231	0.012738698856493	0.898712729937159	54	0.00889034867183883	0.0170453761194802
39	254	3	1	253.5	0.0118343195266272	0.0149150685485188	0.888077076328435	54	0.0106245486879641	0.0197997524867616
40	250	2	0	250	0.008	0.0172777598611194	0.880972459717807	54	0.01253840203114	0.0223478331983138
41	248	5	0	248	0.0201612903225806	0.0201591134702842	0.863210918191239	54	0.01506795028349	0.0256634581519304
42	243	7	2	242	0.0289256198347107	0.0232795753467293	0.838242007334467	55	0.0177315171688391	0.0295725007427839
43	234	4	2	233	0.0171673819742489	0.0266660959876632	0.823851586607695	55	0.0204867796465504	0.0336814888418364
44	228	9	2	227	0.039647577092511	0.0304560052573806	0.791187867314879	55	0.0238215569403288	0.0378879477352178
45	217	5	2	216	0.0231481481481481	0.0347374809933274	0.772873333349257	55	0.0276017159650169	0.0426326435539239
46	210	8	0	210	0.0380952380952381	0.0394438368356943	0.743430539697857	56	0.0310896626779474	0.0479822678921087
47	202	7	1	201.5	0.0347394540942928	0.0445382854453544	0.717604168591728	56	0.0353258885958928	0.0536299398363599
48	194	14	0	194	0.0721649484536082	0.0503054762498956	0.665818300755211	58	0.0407758643786346	0.0596991874503506
49	180	9	2	179	0.0502793296089385	0.056140076203561	0.632341402951877	58	0.0459310801109127	0.066944020573449
50	169	7	1	168.5	0.0415430267062315	0.0620705215992649	0.606072027161591	58	0.0507874985599251	0.0742560414393713
51	161	10	0	161	0.062111801242236	0.0687829672607164	0.568427801872051	58	0.0565256943716656	0.0822765631060343
52	151	13	1	150.5	0.0863787375415282	0.0748358571911198	0.519327725962838	59	0.06206976555461	0.0897567549149959
53	137	14	0	137	0.102189781021898	0.0803153804664145	0.466257739368095	61	0.0664429192763248	0.0966071410964289
54	123	10	2	122	0.0819672131147541	0.0851342090439953	0.428039891878907	61	0.0705062565753823	0.102503436780489
55	111	13	2	110	0.118181818181818	0.089803283798717	0.377453359202309	62	0.0742074746150913	0.108575155562378
56	96	6	1	95.5	0.06282722513089	0.0934720889533947	0.353739012027295	62	0.0768518383554357	0.113480326165678
57	89	5	0	89	0.0561797752808989	0.0970874386089479	0.333866033823514	63	0.0791149027935832	0.118840972456423
58	84	14	0	84	0.166666666666667	0.100506685570121	0.278221694852928	65	0.0800707863405098	0.123521302157581
59	70	6	2	69	0.0869565217391304	0.103077450271528	0.254028503996152	66	0.0807750365091103	0.12785191417233
60	62	5	0	62	0.0806451612903226	0.105008396752992	0.233542334319043	67	0.0825448873895046	0.130985186300231
61	57	7	0	57	0.12280701754386	0.106026186505061	0.20486169677109	68	0.0816455532201381	0.134848948942289
62	50	9	0	50	0.18	0.107148631160204	0.167986591352294	69	0.0818783858209391	0.138417431651105
63	41	3	0	41	0.0731707317073171	0.107887155330896	0.155694889546029	69	0.0823285258669431	0.139485523259124
64	38	3	0	38	0.0789473684210526	0.110397291774679	0.143403187739763	69	0.0831336161010684	0.144338531274928
65	35	3	1	34.5	0.0869565217391304	0.113814116418615	0.13093334532761	70	0.0849034006354232	0.150904451577932
66	31	2	0	31	0.0645161290322581	0.120345438311209	0.122486032725829	70	0.0883615915582913	0.158775840281938
67	29	4	0	29	0.137931034482759	0.128260520591257	0.105591407522266	71	0.0929158106275481	0.17025727177299
68	25	4	0	25	0.16	0.134716357703211	0.0886967823187035	73	0.095619024707654	0.184555589025161
69	21	5	1	20.5	0.24390243902439	0.14179048404393	0.0670634207775563	74	0.100031140058667	0.198312878998717
70	15	2	0	15	0.133333333333333	0.144793007657081	0.0581216313405488	76	0.0984670138630244	0.206014775801394
71	13	2	0	13	0.153846153846154	0.145891952332334	0.0491798419035413	76	0.0935569150379252	0.211114412189165
72	11	0	0	11	0	0.144391609164763	0.0491798419035413	76	0.0862720890755304	0.213904868549688
73	11	3	1	10.5	0.285714285714286	0.140116211348052	0.0351284585025295	84	0.0772377817625262	0.222744750337481
74	7	1	1	6.5	0.153846153846154	0.132455527776216	0.0297240802713711	84	0.0663227612237798	0.231182269817194
75	5	0	0	5	0	0.120158409137155	0.0297240802713711	84	0.0479516999341304	0.243000074660664
76	5	2	0	5	0.4	0.103495735331786	0.0178344481628227	90	0.0336116404083702	0.262564969585446
77	3	0	1	2.5	0	0.0877050551511224	0.0178344481628227	90	0.0046897931156439	0.286763640308264
78	2	0	0	2	0	0.0716825330629016	0.0178344481628227	90	0.00110586892181216	0.103372453212408
79	2	0	0	2	0	0.0598043975360177	0.0178344481628227	90	0	0.0787346032070945
80	2	0	0	2	0	0.0551316790677686	0.0178344481628227	90	0	0.0673513151660323
81	2	0	0	2	0	0.0556050400334653	0.0178344481628227	90	0	0.0712065476084714
82	2	0	0	2	0	0.0617213740653938	0.0178344481628227	90	0	0.0846180447556316
83	2	0	0	2	0	0.0690703114469064	0.0178344481628227	90	0	0.0994486512268241
84	2	1	0	2	0.5	0.071642519893766	0.00891722408141134	90	0	0.107463779840649
85	1	0	0	1	0	0.0720129311396544	0.00891722408141134	90	0	0.108019396709482
86	1	0	0	1	0	0.0671595868712947	0.00891722408141134	90	0	0.100739380306942
87	1	0	0	1	0	0.058764204484559	0.00891722408141134	90	0	0.0881463067268384
88	1	0	0	1	0	0.0487705938200181	0.00891722408141134	90	0	0.0731558907300272
89	1	0	1	0.5	0	0.0387824489604008	0.00891722408141134	90	0	0.0581736734406011
90	0	0	0	0	NA	NA	0	NA	NA	NA
91	0	0	0	0	NA	NA	0	NA	NA	NA
92	0	0	0	0	NA	NA	0	NA	NA	NA
93	0	0	0	0	NA	NA	0	NA	NA	NA
94	0	0	0	0	NA	NA	0	NA	NA	NA
95	0	0	0	0	NA	NA	0	NA	NA	NA
96	0	0	0	0	NA	NA	0	NA	NA	NA
97	0	0	0	0	NA	NA	0	NA	NA	NA
98	0	0	0	0	NA	NA	0	NA	NA	NA
99	0	0	0	0	NA	NA	0	NA	NA	NA
100	0	0	0	0	NA	NA	0	NA	NA	NA
